SPU,订单编号,交易状态,下单时间,付款时间,付款金额,昵称
1815579590,'2434239788058433,等待买家付款,2016-12-25 07:49:10,null,145.00,tb5098389_2012
1815579590,'2433894376748433,交易关闭,2016-12-25 07:44:54,null,126.10,tb5098389_2012
1815579590,'2434231982099540,等待买家付款,2016-12-25 07:26:14,null,154.60,zyelili
1815579590,'2933348809047615,等待买家付款,2016-12-25 06:54:28,null,126.10,ziwodubudemao
1815579590,'2895513887154953,买家已付款,2016-12-25 06:42:04,2016-12-25 06:42:14,197.46,海明威一行
1815579590,'2935314624931302,等待买家付款,2016-12-25 06:30:13,null,131.10,s333989
1815579590,'2933929439191302,等待买家付款,2016-12-25 06:29:47,null,131.10,s333989
1815579590,'2897659115566076,等待买家付款,2016-12-25 05:22:07,null,178.60,a569662071
1815579590,'2432994364137635,等待买家付款,2016-12-25 05:12:23,null,181.27,tb943510_2012
1815579590,'2434184980952427,交易关闭,2016-12-25 03:52:53,null,126.10,hongling_zhu
1815579590,'2933835015339315,等待买家付款,2016-12-25 03:12:39,null,162.46,感动树
1815579590,'2898364301307972,卖家已发货,2016-12-25 02:28:55,2016-12-25 02:28:58,164.10,tb177135_2011
1815579590,'2432947565172225,卖家已发货,2016-12-25 01:48:24,2016-12-25 01:48:29,164.10,柯金定
1815579590,'2933854435508519,买家已付款,2016-12-25 01:13:01,2016-12-25 01:16:02,336.00,黑旋风1985821
1815579590,'2933854435518519,买家已付款,2016-12-25 01:13:01,2016-12-25 01:16:02,376.00,黑旋风1985821
1815579590,'2898268509669685,交易关闭,2016-12-25 01:04:52,null,183.10,dbq15969797977
1815579590,'2898267109059685,交易关闭,2016-12-25 01:02:44,null,183.10,dbq15969797977
1815579590,'2432915362464541,交易关闭,2016-12-25 00:56:49,null,188.10,q466056983
1815579590,'2933255400481318,等待买家付款,2016-12-25 00:51:27,null,74.10,tb5211911_00
1815579590,'2935220623740401,买家已付款,2016-12-25 00:45:49,2016-12-25 00:46:01,396.00,liumeng3697
1815579590,'2434088980531644,买家已付款,2016-12-25 00:27:35,2016-12-25 00:27:56,145.10,璐儿022
1815579590,'2434086780586838,交易关闭,2016-12-25 00:25:49,2016-12-25 00:29:12,124.84,jsxli2011
1815579590,'2933791234832717,交易关闭,2016-12-25 00:13:24,null,159.10,wuyan0424
1815579590,'2432631997968244,买家已付款,2016-12-25 00:07:52,2016-12-25 00:08:03,197.46,邓超5550
1815579590,'2895233683431850,等待买家付款,2016-12-25 00:05:11,null,159.10,吴宛珊124
1815579590,'2897402911359362,买家已付款,2016-12-25 00:05:05,2016-12-25 00:05:13,145.10,dln0124
1815579590,'2897147291920791,买家已付款,2016-12-25 00:04:56,2016-12-25 00:06:33,180.10,肖桂贞
1815579590,'2933728010248902,买家已付款,2016-12-25 00:04:56,2016-12-25 00:05:18,124.84,kiracagali
1815579590,'2897141294195375,买家已付款,2016-12-25 00:04:33,2016-12-25 00:05:09,336.00,jiapei_100yn
1815579590,'2433726171934627,买家已付款,2016-12-25 00:03:37,2016-12-25 01:56:38,159.10,流着血的伤疤
1815579590,'2933778632868902,交易关闭,2016-12-25 00:03:35,null,126.10,kiracagali
1815579590,'2898145305090791,等待买家付款,2016-12-25 00:02:21,null,161.10,肖桂贞
1815579590,'2933199400514408,等待买家付款,2016-12-25 00:02:03,null,145.10,娟娟jj1983
1815579590,'2933773834665221,等待买家付款,2016-12-25 00:01:57,null,206.87,家佳宝母婴生活馆
1815579590,'2897140690673875,买家已付款,2016-12-25 00:01:38,2016-12-25 00:03:13,194.10,李天赐521
1815579590,'2933770037384408,等待买家付款,2016-12-25 00:01:06,null,140.10,娟娟jj1983
1815579590,'2933190609029220,买家已付款,2016-12-25 00:00:52,2016-12-25 00:01:02,148.11,as大海7503
1815579590,'2432624395296934,等待买家付款,2016-12-25 00:00:51,null,178.10,刘磊磊1980
1815579590,'2434046186736227,买家已付款,2016-12-25 00:00:47,2016-12-25 00:00:57,164.10,流星雨05630
1815579590,'2933771036247205,买家已付款,2016-12-25 00:00:24,2016-12-25 00:00:34,178.10,石榴321908
1815579590,'2897114499347693,交易关闭,2016-12-25 00:00:13,null,164.10,linyupei2012
1815579590,'2935161025607921,交易关闭,2016-12-25 00:00:09,null,178.10,1145545830z
1815579590,'2432843968619226,等待买家付款,2016-12-25 00:00:07,null,164.10,chenhuichan1234
1815579590,'2933717812947002,卖家已发货,2016-12-25 00:00:07,2016-12-25 00:00:27,148.11,qianxunxiaole
1815579590,'2895216084383658,买家已付款,2016-12-25 00:00:06,2016-12-25 00:00:10,140.10,zhenyun8818
1815579590,'2432619598859032,买家已付款,2016-12-25 00:00:05,2016-12-25 00:00:20,199.10,ltt709
1815579590,'2933714616314919,买家已付款,2016-12-25 00:00:04,2016-12-25 00:00:11,183.10,love3741321
1815579590,'2432849162943540,买家已付款,2016-12-25 00:00:03,2016-12-25 00:00:12,154.60,fanjianming601124
1815579590,'2897133091349650,交易关闭,2016-12-25 00:00:03,null,164.10,laiming56jbyz
1815579590,'2432620197728244,交易关闭,2016-12-25 00:00:02,null,356.00,邓超5550
1815579590,'2898133107849799,买家已付款,2016-12-25 00:00:02,2016-12-25 00:00:20,396.00,桔子123_88
1815579590,'2897382312447591,买家已付款,2016-12-25 00:00:01,2016-12-25 00:00:04,169.10,相加加
1815579590,'2897379113784678,买家已付款,2016-12-25 00:00:00,2016-12-25 00:00:07,356.00,莫千义
20139804250,'2432769199371731,买家已付款,2016-12-25 06:06:46,2016-12-25 06:06:55,118.16,tiansi87
20139804250,'2897664914010484,买家已付款,2016-12-25 05:31:22,2016-12-25 05:31:37,108.19,tb_7610178
20139804250,'2897319494001784,买家已付款,2016-12-25 01:53:19,2016-12-25 01:53:26,139.25,ljdljd小静
20139804250,'2933802816317921,买家已付款,2016-12-25 01:33:23,2016-12-25 01:33:33,119.25,姐妹坊华
20139804250,'2432708396070329,卖家已发货,2016-12-25 01:26:25,2016-12-25 01:26:31,103.10,淑铭2088
20139804250,'2433797377720329,等待买家付款,2016-12-25 01:25:28,null,103.10,淑铭2088
20139804250,'2432697795079342,买家已付款,2016-12-25 01:09:43,2016-12-25 01:10:02,230.00,陌妖jy
20139804250,'2432697795089342,买家已付款,2016-12-25 01:09:43,2016-12-25 01:10:02,230.00,陌妖jy
20139804250,'2933252805488317,卖家已发货,2016-12-25 00:54:16,2016-12-25 00:54:23,139.25,luluchungk
20139804250,'2897231890696059,买家已付款,2016-12-25 00:39:57,2016-12-25 00:40:08,109.25,woaihanhan0809
20139804250,'2432661998875638,买家已付款,2016-12-25 00:30:21,2016-12-25 00:30:31,109.25,秋迎宇富
20139804250,'2897457112164780,等待买家付款,2016-12-25 00:28:06,null,113.21,nataliesylee
20139804250,'2433756170398027,交易关闭,2016-12-25 00:24:22,null,114.25,开心点没什么
20139804250,'2895223289598069,买家已付款,2016-12-25 00:06:57,2016-12-25 00:07:04,230.00,tb_2403279
20139804250,'2895233084288069,交易关闭,2016-12-25 00:05:48,null,230.00,tb_2403279
20139804250,'2433726572923130,交易关闭,2016-12-25 00:04:22,null,98.10,sanyo0606
20139804250,'2434045989869247,交易关闭,2016-12-25 00:03:11,null,114.25,鲁鲁修二世
20139804250,'2935165620398713,交易关闭,2016-12-25 00:01:06,null,114.25,哈尼小泫泫
20139804250,'2897374316512555,买家已付款,2016-12-25 00:00:16,2016-12-25 00:00:24,109.13,柒零水饺
20139804250,'2432843368260447,买家已付款,2016-12-25 00:00:09,2016-12-25 00:00:17,114.25,z185204017
20139804250,'2898145501023795,买家已付款,2016-12-25 00:00:06,2016-12-25 00:00:08,118.16,laigg185
20139804250,'2432620197738244,交易关闭,2016-12-25 00:00:02,null,230.00,邓超5550
20139804250,'2898133107829799,买家已付款,2016-12-25 00:00:02,2016-12-25 00:00:20,230.00,桔子123_88
521758420834,'2933911019278411,买家已付款,2016-12-25 07:54:49,2016-12-25 07:55:14,234.88,云淡风轻12598
521758420834,'2933380408468202,买家已付款,2016-12-25 07:49:38,2016-12-25 07:50:01,162.20,安燕鸿娜
521758420834,'2897740317950995,交易关闭,2016-12-25 07:42:01,null,165.53,孺子牛3781337
521758420834,'2897743914716479,买家已付款,2016-12-25 07:40:07,2016-12-25 07:40:47,192.20,梁家女子梁好
521758420834,'2897463493104955,买家已付款,2016-12-25 07:22:58,2016-12-25 07:23:08,192.20,本人求真务实
521758420834,'2898444707071357,买家已付款,2016-12-25 06:54:45,2016-12-25 06:56:12,167.20,谢建川19940413
521758420834,'2897428495802878,买家已付款,2016-12-25 06:46:39,2016-12-25 06:46:48,167.20,宇柔1104
521758420834,'2935311429707401,买家已付款,2016-12-25 06:35:43,2016-12-25 06:35:58,237.25,t_1480167625919_0673
521758420834,'2895492288450570,等待买家付款,2016-12-25 05:57:54,null,237.25,shuai047
521758420834,'2897651115800570,交易关闭,2016-12-25 04:48:34,null,236.51,shuai047
521758420834,'2897656913387082,卖家已发货,2016-12-25 04:46:17,2016-12-25 04:46:25,74.10,天使爱吃苹果33
521758420834,'2433798779889129,交易关闭,2016-12-25 01:34:29,null,199.25,wertyuiop2583
521758420834,'2895376087202888,卖家已发货,2016-12-25 01:25:32,2016-12-25 01:26:01,165.30,漆春兰88
521758420834,'2933276402266212,买家已付款,2016-12-25 01:20:28,2016-12-25 01:20:42,637.50,tb3287303
521758420834,'2897523717848075,等待买家付款,2016-12-25 01:14:02,null,214.25,dongxiaojian888
521758420834,'2897242298779261,等待买家付款,2016-12-25 00:56:36,null,537.50,miko_包包
521758420834,'2898265501900594,等待买家付款,2016-12-25 00:50:49,null,149.30,cxjzsx838411
521758420834,'2933253600106700,等待买家付款,2016-12-25 00:49:21,null,187.20,awx200802
521758420834,'2432902563189129,交易关闭,2016-12-25 00:43:01,null,204.25,wertyuiop2583
